_0_2580_	Wer gern eigenverantwortlich arbeiten möchte und sich auf kontinuierliche Weiterbildung freut ist bei uns richtig
_0_3826_	UnfallverletzungenZwischenmenschlichkeit Zusammenhalt und Vertrauen
_0_3946_	Wir erwarten Freude am Beruf Zuverlässigkeit und Verantwortungsbewusstsein
_0_4317_	Sie zeigen persönliches Engagement um unsere Qualität stetig zu verbessern
_0_4381_	Für unseren ambulanten Pflegedienst in Hamburg Billstedt und Umgebung suchen wir zur Erweiterung unseres Teams eine freundliche und dem Menschen zugewandte Pflegefachkraft m w für Vollzeit Teilzeit oder als Aushilfe zum nächstmöglichen Zeitpunkt
_0_4381_	Taktgefühl im Umgang mit Klienten und Angehörigen
_0_4381_	Selbständige und organisierte Arbeitsweise
_0_4381_	Erfahrungen in der ambulanten Pflege erwünscht aber nicht zwingend notwendig
_0_4381_	Gültiger Führerschein Klasse B
_0_4607_	ein offenes und liebevolles Auftreten gegenüber unseren Bewohnern und Angehörigen
_0_4607_	hohe soziale Kompetenz Verantwortungsbewusstsein und Empathie Ihre Aufgaben
_0_4806_	Erfahrungen in der außerklinischen 1 1 Betreuung oder in der ambulanten Pflege
_0_4806_	Teamfähigkeit
_0_4812_	hoch motiviert flexibel psychisch und physisch belastbar
_0_4812_	zwischen 20 und 39 Jahre alt und mobil
_0_4812_	lernbereit teamfähig und verfügen über gute Zeugnisse
_0_4812_	im Besitz einer Fahrerlaubnis für PKW
_0_4812_	bereit im Wechselschichtdienst zu arbeiten
_0_4826_	Sie bringen viel Einfühlungsvermögen und Engagement mit
_0_4876_	Führerschein Klasse B
_0_4876_	anwendungsbereite EDV Kenntnisse
_0_4876_	freundliches und motiviertes Auftreten
_0_4876_	Zuverlässigkeit Flexibilität sowie team und serviceorientiertes Arbeiten im Sinne der Patienten
_0_4909_	Sie lieben Ihren Beruf in der Pflegebranche der anspruchsvoll spannend und abwechslungsreich ist
_0_4909_	Sie bringen ein hohes Maß an Fach und Sozialkompetenz Verantwortungsbewusstsein Selbstständigkeit gepaart mit Teamgeist mit
_0_4909_	Ein Führerschein der Klasse 3 oder B ist erforderlich
_0_5040_	Sie übernehmen gerne Verantwortung und verfügen über ein hohes Organisationsgeschick
_0_5040_	Sie arbeiten gerne im Team und lieben die Pflege von Menschen
_0_5040_	Außerdem wirken Sie an einer hohen Pflegequalität mit indem Sie mit Angehörigen und anderen Anspruchsgruppen eng zusammen arbeiten
_0_5040_	Sie sind Fortbildungsmaßnahmen gegenüber offen und die Pflegebranche liegt Ihnen ebenso am Herzen wie uns
_0_5040_	Sie lieben Ihren Beruf in der Pflegebranche der anspruchsvoll spannend und abwechslungsreich ist
_0_5040_	Sie bringen ein hohes Maß an Fach und Sozialkompetenz Verantwortungsbewusstsein Selbstständigkeit gepaart mit Teamgeist mit
_0_5040_	Ein Führerschein der Klasse 3 oder B ist unerlässlich
_0_5041_	PKW Führerschein Klasse B alt Klasse 3 ist wünschenswert
_0_5046_	Einfühlsame und verantwortungsvolle Arbeitsweise im Umgang mit Kindern und deren Angehörigen
_0_5046_	Flexibilität selbständige Arbeitsweise
_0_5046_	Führerschein Klasse B
_0_5081_	Kommunikative Stärke und ausgezeichnete
_0_5081_	deutsche Sprachkenntnisse in Wort und Schrift
_0_5081_	Empathie und eine ausgeprägte Fähigkeit
_0_5081_	Menschen zu motivieren
_0_5081_	Fundierte Kenntnisse im Umgang mit MS Of 64257;ce
_0_5081_	Serviceorientierung Engagement Organisationsgeschick und Freude am Telefonieren
_0_5081_	Bereitschaft zum Schichtdienst 7x24 Std
_0_5097_	Wir wünschen uns eine n Kollegin en die der freundlich zuverlässig und umsichtig agiert und über eine gute pflegefachliche Wahrnehmung verfügt
_0_5147_	Anforderungen an den Bewerber bzw. erforderliche Qualifikation
_0_5163_	Führerschein Kl.3 Eigenständige Arbeitsweise
_0_5163_	Gute Deutschkenntnisse erwünscht
_0_5194_	Führerschein Klasse B gewünscht aber nicht Pflicht
_0_5194_	motiviert flexibel freundlich
_0_5248_	Fremdsprachenkenntnisse sind gerne gesehen
_0_5249_	Wir stellen uns eine gefestigte Persönlichkeit vor für die Einfühlungsvermögen und
_0_5249_	Freundlichkeit im Umgang mit den zu betreuenden betagten Menschen selbstverständlich
_0_5251_	Ausbildung in Pflegeberufen von Vorteil; freundlicher und unterstützender Umgang mit Patienten
_0_5251_	PC Kenntnisse und Umgang mit medizintechnischer Ausrüstung erforderlich ausreichende Trainingsphase wird garantiert
_0_5251_	hohe Zuverlässigkeit und verantwortungsbewußte Ausführung der Aufgaben wird vorausgesetzt
_0_5274_	Darüber hinaus besitzen Sie gute EDV Kentnisse und idealerweise erste Leitungserfahrung
_0_5275_	Für unseren neu gegründeten Pflege dienst dessen Aktions radius sich zunächst auf den Westen Hamburgs konzen trieren wird suchen wir zum nächst möglichen Zeitpunkt Sie m w als Examinierte Pflege fach kraft Voll Teilzeit 400 Euro Basis die empathisch humorvoll und herzlich mit hervor ragender pflege rischer Kompetenz und höchsten Ansprüchen an die tägliche Arbeit unseren pflege bedürftigen Seniorinnen und Senioren im Westen Hamburgs das Gefühl gibt in den besten Händen zu sein
_0_5275_	Sie sind examinierte Pflegefachkraft m w und besitzen gute EDV Kenntnisse
_0_5275_	Zudem sind Sie flexibel engagiert und haben Spaß an der Arbeit im Team
_0_5296_	Fähigkeit Prioritäten im Arbeitsablauf zu setzen und den Gesamtüberblick zu wahren
_0_5296_	Wertschätzende Grundhaltung
_0_5296_	Reflexionsfähigkeit
_0_5296_	Entscheidungsfähigkeit
_0_5296_	Flexibilität
_0_5296_	Belastbarkeit
_0_5296_	Teamfähigkeit
_0_5296_	Höflichkeit
_0_5296_	Geduld im Umgang mit Menschen
_0_5296_	Kommunikationsfähigkeit
_0_5296_	Verantwortungsbewusstsein
_0_5296_	Gewissenhaftigkeit
_0_5296_	Lernbereitschaft
_0_5296_	Selbstpflegekompetenz
_0_5302_	Erfahrung mit den gängigen MS Office Anwendungen Word Excel Powerpoint
_0_5302_	Erfahrung mit IBM Lotus Notes
_0_5302_	Allgemeine MS Windows Kenntnisse
_0_5302_	Idealerweise SAP Kenntnisse
_0_5302_	Erfahrung im Bereich Akquise und Kundentelefonie
_0_5302_	Freude am Umgang mit Patienten und Kunden
_0_5302_	Verbindliches Auftreten sowie sehr gute Kommunikationsfähigkeiten
_0_5302_	Aufgeschlossenheit und Freundlichkeit
_0_5311_	Ihre fachliche Qualifikation Erfahrung in der Pflege wünschenswert aber nicht zwingend nötigPersönliche Grundfähigkeiten körperliche und seelische Stabilität
_0_5311_	Ausgeglichenheit und Geduld
_0_5311_	Kreativität
_0_5311_	Fähigkeit Verantwortung wahrzunehmen
_0_5311_	Initiative und Einsatzbereitschaft
_0_5311_	Teamfähigkeit
_0_5311_	Konfliktfähigkeit
_0_5311_	Organisationsfähigkeit
_0_5311_	Fähigkeit zur ständigen und umfassenden eigenen Fortbildung
_0_5311_	sicheres Auftreten und sprachliche Gewandtheit
_0_5311_	eigene Kritikfähigkeit und Selbstreflexion
_0_5311_	Einfühlungsvermögen
_0_5311_	Urteilsvermögen
_0_5311_	Verschwiegenheit und Vertrauenswürdigkeit
_0_5311_	Durch den Einsatz in der ambulanten Pflege Führerschein Klasse 3 B
_0_5330_	Pflegefachfrau mann HF FH DNII AKP Berufserfahrung im AkutbereichSehr gute Deutschkenntnisse mündlich und schriftlich Offenheit Kommunikation Engagement sowie ZuverlässigkeitHohe Kundenorientierung Organisationsgeschick hohe Verantwortungsbewusstsein und Belastbarkeit UNSER ANGEBOTWir bieten Ihnen eine angenehme Arbeitsatmosphäre eine leistungsgerechte Entlohnung sowie interessante Mitarbeiteraktivitäten und vergünstigungen
_0_5334_	Kommunikative Fähigkeiten
_0_5334_	Kooperationsfähigkeit
_0_5334_	Leistungsbereitschaft
_0_5334_	Bereitschaft zur fortlaufenden Weiterentwicklung fachlicher persönlicher und sozialer Kompetenz
_0_5356_	der Bereitschaft zur konstruktiven und kooperativen Zusammenarbeit mit den Belegärzten der Klinik den Stationen und allen anderen Bereichen und Berufsgruppen
_0_5356_	betriebswirtschaftlichem Denken und Handeln
_0_5356_	ausgeprägtem Qualitätsbewusstsein vor dem Hintergrund der Patientenorientierung
_0_5364_	Führerschein Klasse B
_0_5368_	patientenorientiertes Auftreten und Agieren
_0_5368_	Bereitschaft und Verfügbarkeit zu Nacht und Wochenendschichten
_0_5368_	Führerschein Klasse B sowie Fahrpraxis
_0_5373_	Organisations und Präsentationstalent hohe Zuverlässigkeit Flexibilität gepaart mit unternehmerischem Denken
_0_5373_	Sicheres Auftreten ausgeprägte Kommunikations und Sozialkompetenz sowie Freude am Umgang mit Ansprechpartnern über alle Hierarchie Ebenen
_0_5373_	Gute MS Office und Englisch Kenntnisse Führerschein Kl
_0_5373_	B III idealerweise Kenntnisse in Lotus Notes und Projektmanagement
_0_5385_	Pflegewissenschaft oder ein anderes Hochschulstudium mit geeigneter Schwerpunktbildung durch Projektarbeit nachgewiesene Erfahrung im Theorie Praxistransfer möglichst mehrjährige Berufs und Leitungserfahrung sehr gute EDV Kenntnisse kommunikative Kompetenz Organisationsgeschick sowie ein zielorientierter Arbeitsstil Leistungsbereitschaft Zuverlässigkeit und ein großes Maß an Flexibilität und Kreativität ausgewiesene Erfahrung bei der Personalplanung und Personalentwicklung Wünschenswerte Qualifikation hohes Engagement für die kontinuierliche Weiterentwicklung der eingeführten Pflegekonzepte Qualifikation und Fähigkeiten zum Ausbau des Qualitätsmanagements analytisches Denken Verantwortungsbewusstsein und Kooperationsbereitschaft in der Zusammenarbeit mit anderen Berufsgruppen ausgeprägte Sozial und Führungskompetenz Leistungsbereitschaft Zuverlässigkeit und Loyalität motivierte Persönlichkeit mit dem Interesse Neues aufzubauen Wir bieten einen vielseitigen und anspruchsvollen Arbeitsplatz mit viel Eigenverantwortung in der Zusammenarbeit mit engagierten und aufgeschlossenen Pflege Teams offene und konstruktive Zusammenarbeit mit den leistungsorientierten Teams der Pflegedienstleitungen und der Pflegedirektion gute Entwicklungsmöglichkeiten durch gezielte Fortbildungen und Mitarbeit in verschiedenen Projektteams um zukünftig weitere Karriereschritte verwirklichen zu können einen zukunftssicheren Arbeitsplatz in einem Universitätsklinikum in öffentlich rechtlicher Trägerschaft hochwertige Angebote zur betrieblichen Gesundheitsförderung Möglichkeiten der Kinderbetreuung Kita Plätze Ferienbetreuung etc
_0_5389_	Flexibilität Belastbarkeit Teamfähigkeit Verantwortungsbewußtsein
_0_5396_	Sie sind mit dem Dienstleistungsgedanken bestens vertraut
_0_5396_	Die Fertigkeit im Umgang mit EDV und medizinischen Geräten ist erwünscht
_0_5396_	Sie arbeiten gern mit Menschen zusammen und haben eine offene sowie zielorientierte Arbeitsweise
